trial_index,arm_name,trial_status,generation_method,BestF1,layers,lr,batch_size,aggregation,hid
1,1_0,COMPLETED,Sobol,0.524219810962677,4,0.00038344171023639725,64,sum,128
0,0_0,COMPLETED,Sobol,0.41718417406082153,2,0.0014528509914685322,256,mean,128
